Country Name,GDP
Afghanistan,516.7478708
Africa Eastern and Southern,1359.618224
Africa Western and Central,1710.073363
Albania,5246.096346
Algeria,3306.858208
American Samoa,12844.90099
Andorra,40897.3
Angola,1776.166868
Antigua and Barbuda,13992.74448
Arab World,5612.68657
Argentina,8579.017773
Armenia,4266.018074
Aruba,30253.3
Australia,51680.31652
Austria,48588.65938
Azerbaijan,4221.407478
Bahamas,25194.02514
Bahrain,20409.9528
Bangladesh,1961.613749
Barbados,15373.8547
Belarus,6424.152176
Belgium,45205.33594
Belize,4115.177008
Benin,1291.040972
Bermuda,107079.4798
Bhutan,3000.779327
Bolivia,3133.099803
Bosnia and Herzegovina,6079.738285
Botswana,6404.899932
Brazil,6796.844542
Brunei,27442.95383
Bulgaria,10079.20338
Burkina Faso,857.9327297
Burma,1467.604281
Burundi,238.9907259
Cabo Verde,3064.272388
Cambodia,1543.669258
Cameroon,1537.130218
Canada,43258.26387
Caribbean small states,8873.521929
Cayman Islands,85082.52686
Central African Republic,492.7958712
Central Europe and the Baltics,16180.96792
Chad,659.270045
Channel Islands,74458.8
Chile,13231.70421
China,10434.77519
Colombia,5334.556042
Comoros,1420.661747
Congo (Brazzaville),1846.131297
Congo (Kinshasa),543.9503925
Costa Rica,12140.85415
Cote d'Ivoire,2325.723705
Croatia,14132.48656
Cuba,9477.852873
Curacao,16752.96526
Cyprus,27527.84531
Czechia,22933.49959
Denmark,61063.31643
Djibouti,3425.484176
Dominica,7003.859021
Dominican Republic,7268.19691
Early-demographic dividend,3201.654261
East Asia & Pacific,11477.49173
East Asia & Pacific (excluding high income),8254.670871
East Asia & Pacific (IDA & IBRD countries),8346.03881
Ecuador,5600.389615
Egypt,3569.206841
El Salvador,3798.636521
Equatorial Guinea,7143.238705
Eritrea,642.5
Estonia,23054.35849
Eswatini,3424.282212
Ethiopia,936.3404611
Euro area,37994.54796
Europe & Central Asia,23963.33634
Europe & Central Asia (excluding high income),7668.99564
Europe & Central Asia (IDA & IBRD countries),8388.78957
European Union,34173.48726
Faroe Islands,64225.3
Fiji,5057.631913
Finland,48755.35501
Fragile and conflict affected situations,1622.191238
France,39037.12263
French Polynesia,14324.1
Gabon,6881.715192
Gambia,773.0020701
Georgia,4256.701186
Germany,46252.6893
Ghana,2205.529016
Gibraltar,92843
Greece,17647.23269
Greenland,53041.3
Grenada,9261.551876
Guam,34624.34013
Guatemala,4603.339617
Guinea,1194.037865
Guinea-Bissau,727.5201717
Guyana,6955.939217
Haiti,1272.367992
Heavily indebted poor countries (HIPC),968.6904998
High income,43934.5487
Holy See,21198
Honduras,2389.012431
"Hong Kong SAR, China",46323.86344
Hungary,15980.10823
IBRD only,6149.462886
Iceland,59264.03409
IDA & IBRD total,4891.147627
IDA blend,1674.917871
IDA only,1126.929433
IDA total,1310.672817
India,1927.707823
Indonesia,3869.588427
Iran,2422.480657
Iraq,4145.862936
Ireland,85422.54287
Isle of Man,84481.6
Israel,44177.57122
Italy,31769.96587
Jamaica,4664.530242
Japan,40193.25244
Jordan,4282.765825
Kazakhstan,9122.23343
Kenya,1878.580703
Kiribati,1653.540297
"Korea, North",1300
"Korea, South",31597.50465
Kosovo,4310.811183
Kuwait,24811.76971
Kyrgyzstan,1175.698152
Laos,2629.714583
Late-demographic dividend,9683.494094
Latin America & Caribbean,7243.671777
Latin America & Caribbean (excluding high income),6779.199717
Latin America & the Caribbean (IDA & IBRD countries),7035.753075
Latvia,17736.50375
Least developed countries: UN classification,1053.224833
Lebanon,4649.547646
Lesotho,875.353433
Liberia,632.9363856
Libya,3699.294765
Liechtenstein,175813.9
Lithuania,20232.30204
Low & middle income,4754.842938
Low income,691.1683328
Lower middle income,2217.222673
Luxembourg,116356.158
"Macao SAR, China",39403.13591
Madagascar,471.4914963
Malawi,636.8205368
Malaysia,10412.34898
Maldives,6924.105745
Mali,862.4530188
Malta,28423.2002
Marshall Islands,4129.850998
Mauritania,1701.991163
Mauritius,8627.843157
Mexico,8329.271313
Micronesia,3565.293294
Middle East & North Africa,6534.560944
Middle East & North Africa (excluding high income),3018.433655
Middle East & North Africa (IDA & IBRD countries),3015.703551
Middle income,5216.970909
Moldova,4547.059721
Monaco,173688.1894
Mongolia,4060.950518
Montenegro,7677.152226
Morocco,3058.691689
Mozambique,448.5442807
Namibia,4179.278066
Nauru,10580.26819
Nepal,1155.142854
Netherlands,52396.03221
New Caledonia,34788.5
New Zealand,41441.46667
Nicaragua,1905.261152
Niger,567.6698923
Nigeria,2097.092473
North America,61161.15354
North Macedonia,5917.262575
Northern Mariana Islands,20659.6
Norway,67329.67779
OECD members,38168.06372
Oman,14485.38612
Other small states,11771.2092
Pacific island small states,3768.543357
Pakistan,1188.859757
Palau,14243.86469
Panama,12509.83529
Papua New Guinea,2757.21753
Paraguay,5001.07276
Peru,6126.87454
Philippines,3298.829586
Poland,15742.45373
Portugal,22194.56611
Post-demographic dividend,44400.30854
Pre-demographic dividend,1332.049211
Puerto Rico,31429.86612
Qatar,50124.38594
Romania,12915.24305
Russia,10126.72179
Rwanda,797.8555207
Saint Kitts and Nevis,18437.74892
Saint Lucia,8804.561048
Saint Vincent and the Grenadines,7278.016297
Samoa,4067.843459
San Marino,47731.2
Sao Tome and Principe,2157.840446
Saudi Arabia,20110.31619
Senegal,1471.830962
Serbia,7730.691746
Seychelles,10764.42042
Sierra Leone,509.376594
Singapore,59797.75218
Sint Maarten (Dutch part),28988.3
Slovakia,19266.51357
Slovenia,25489.50023
Small states,10773.54403
Solomon Islands,2250.601164
Somalia,438.2551656
South Africa,5655.867654
South Asia,1823.712912
South Sudan,1119.7
Spain,27056.42175
Sri Lanka,3680.673477
Sudan,486.4188163
Suriname,4916.605666
Sweden,52274.40879
Switzerland,87100.41482
Syria,1334.4
Taiwan*,33775
Tajikistan,859.1379611
Tanzania,1076.469706
Thailand,7186.874092
Timor-Leste,1442.730738
Togo,914.9507925
Tonga,4624.823449
Trinidad and Tobago,15425.63511
Tunisia,3521.591948
Turkey,8536.43332
Turkmenistan,7612
Turks and Caicos Islands,23879.92665
Tuvalu,4143.109753
Uganda,822.0276815
Ukraine,3724.938437
United Arab Emirates,36284.55524
United Kingdom,41059.16881
US,63206.52108
Uruguay,15438.41167
Uzbekistan,1750.697113
Vanuatu,2870.0893
Venezuela,16055.6
Vietnam,2785.724161
West Bank and Gaza,3239.731108
World,10916.08083
Yemen,758.1
Zambia,985.132436
Zimbabwe,1214.50982
